"Pair.Name","Ligand.ApprovedSymbol","Receptor.ApprovedSymbol","Mouse_LigandSym","Mouse_RecSym","Mouse.Pairs"
"Cxcl3_Cxcr2","Cxcl3","Cxcr2","Cxcl2","Cxcr2","Cxcl2_Cxcr2"
"Cxcl3_Cxcr2","Cxcl3","Cxcr2","Cxcl3","Cxcr2","Cxcl3_Cxcr2"
"Cxcl5_Cxcr1","Cxcl5","Cxcr1","Cxcl5","Cxcr1","Cxcl5_Cxcr1"
"Cxcl5_Cxcr2","Cxcl5","Cxcr2","Cxcl5","Cxcr2","Cxcl5_Cxcr2"
"Cxcl5_Darc","Cxcl5","Darc","Cxcl5",NA,"Cxcl5_NA"
"Cxcl6_Cxcr1","Cxcl6","Cxcr1","Cxcl5","Cxcr1","Cxcl5_Cxcr1"
"Cxcl6_Cxcr2","Cxcl6","Cxcr2","Cxcl5","Cxcr2","Cxcl5_Cxcr2"
"Cxcl9_Ccr3","Cxcl9","Ccr3","Cxcl9","Ccr3","Cxcl9_Ccr3"
"Cxcl9_Cxcr3","Cxcl9","Cxcr3","Cxcl9","Cxcr3","Cxcl9_Cxcr3"
"Cyr61_Cav1","Cyr61","Cav1","Cyr61","Cav1","Cyr61_Cav1"
"Cyr61_Itga5","Cyr61","Itga5","Cyr61","Itga5","Cyr61_Itga5"
"Cyr61_Itgam","Cyr61","Itgam","Cyr61","Itgam","Cyr61_Itgam"
"Cyr61_Itgam","Cyr61","Itgam","Cyr61","Itgam","Cyr61_Itgam"
"Cyr61_Itgav","Cyr61","Itgav","Cyr61","Itgav","Cyr61_Itgav"
"Cyr61_Itgb2","Cyr61","Itgb2","Cyr61","Itgb2l","Cyr61_Itgb2l"
"Cyr61_Itgb2","Cyr61","Itgb2","Cyr61","Itgb2","Cyr61_Itgb2"
"Cyr61_Itgb3","Cyr61","Itgb3","Cyr61","Itgb3","Cyr61_Itgb3"
"Cyr61_Itgb5","Cyr61","Itgb5","Cyr61","Itgb5","Cyr61_Itgb5"
"Dcn_Egfr","Dcn","Egfr","Dcn","Egfr","Dcn_Egfr"
"Dcn_Erbb4","Dcn","Erbb4","Dcn","Erbb4","Dcn_Erbb4"
"Dcn_Met","Dcn","Met","Dcn","Met","Dcn_Met"
"Defb103a_Ccr6","Defb103a","Ccr6","Defb14","Ccr6","Defb14_Ccr6"
"Defb103b_Ccr2","Defb103b","Ccr2","Defb14","Ccr2","Defb14_Ccr2"
"Defb103b_Ccr6","Defb103b","Ccr6","Defb14","Ccr6","Defb14_Ccr6"
"Defb1_Ccr6","Defb1","Ccr6","Defb1","Ccr6","Defb1_Ccr6"
"Defb4a_Ccr6","Defb4a","Ccr6",NA,"Ccr6","NA_Ccr6"
"Defb4a_Tlr4","Defb4a","Tlr4",NA,"Tlr4","NA_Tlr4"
"Defb4b_Ccr6","Defb4b","Ccr6",NA,"Ccr6","NA_Ccr6"
"Dhh_Boc","Dhh","Boc","Dhh","Boc","Dhh_Boc"
"Dhh_Cdon","Dhh","Cdon","Dhh","Cdon","Dhh_Cdon"
"Dhh_Hhip","Dhh","Hhip","Dhh","Hhip","Dhh_Hhip"
"Dhh_Ptch1","Dhh","Ptch1","Dhh","Ptch1","Dhh_Ptch1"
"Dhh_Ptch2","Dhh","Ptch2","Dhh","Ptch2","Dhh_Ptch2"
"Dkk1_Kremen1","Dkk1","Kremen1","Dkk1","Kremen1","Dkk1_Kremen1"
"Dkk1_Kremen2","Dkk1","Kremen2","Dkk1","Kremen2","Dkk1_Kremen2"
"Dkk1_Lrp5","Dkk1","Lrp5","Dkk1","Lrp5","Dkk1_Lrp5"
"Dkk1_Lrp6","Dkk1","Lrp6","Dkk1","Lrp6","Dkk1_Lrp6"
"Dkk2_Kremen2","Dkk2","Kremen2","Dkk2","Kremen2","Dkk2_Kremen2"
"Dkk2_Lrp6","Dkk2","Lrp6","Dkk2","Lrp6","Dkk2_Lrp6"
"Dlk1_Notch1","Dlk1","Notch1","Dlk1","Notch1","Dlk1_Notch1"
"Dlk1_Notch2","Dlk1","Notch2","Dlk1","Notch2","Dlk1_Notch2"
"Dlk1_Notch3","Dlk1","Notch3","Dlk1","Notch3","Dlk1_Notch3"
"Dlk1_Notch4","Dlk1","Notch4","Dlk1","Notch4","Dlk1_Notch4"
"Dlk2_Notch1","Dlk2","Notch1","Dlk2","Notch1","Dlk2_Notch1"
"Dll1_Notch1","Dll1","Notch1","Dll1","Notch1","Dll1_Notch1"
"Dll1_Notch2","Dll1","Notch2","Dll1","Notch2","Dll1_Notch2"
"Dll1_Notch3","Dll1","Notch3","Dll1","Notch3","Dll1_Notch3"
"Dll1_Notch4","Dll1","Notch4","Dll1","Notch4","Dll1_Notch4"
"Dll3_Notch1","Dll3","Notch1","Dll3","Notch1","Dll3_Notch1"
"Dll3_Notch2","Dll3","Notch2","Dll3","Notch2","Dll3_Notch2"
"Dll3_Notch3","Dll3","Notch3","Dll3","Notch3","Dll3_Notch3"
"Dll3_Notch4","Dll3","Notch4","Dll3","Notch4","Dll3_Notch4"
"Dll4_Notch1","Dll4","Notch1","Dll4","Notch1","Dll4_Notch1"
"Dll4_Notch2","Dll4","Notch2","Dll4","Notch2","Dll4_Notch2"
"Dll4_Notch3","Dll4","Notch3","Dll4","Notch3","Dll4_Notch3"
"Dll4_Notch4","Dll4","Notch4","Dll4","Notch4","Dll4_Notch4"
"Dscam_Dcc","Dscam","Dcc","Dscam","Dcc","Dscam_Dcc"
"Dusp18_Cd151","Dusp18","Cd151","Dusp18","Cd151","Dusp18_Cd151"
"Dusp18_Itga1","Dusp18","Itga1","Dusp18","Itga1","Dusp18_Itga1"
"Dusp18_Itga2","Dusp18","Itga2","Dusp18","Itga2","Dusp18_Itga2"
"Dusp18_Itga3","Dusp18","Itga3","Dusp18","Itga3","Dusp18_Itga3"
"Dusp18_Itga6","Dusp18","Itga6","Dusp18","Itga6","Dusp18_Itga6"
"Dusp18_Itga7","Dusp18","Itga7","Dusp18","Itga7","Dusp18_Itga7"
"Dusp18_Itgb1","Dusp18","Itgb1","Dusp18","Itgb1","Dusp18_Itgb1"
"Dusp18_Itgb4","Dusp18","Itgb4","Dusp18","Itgb4","Dusp18_Itgb4"
"Dusp18_Rpsa","Dusp18","Rpsa","Dusp18",NA,"Dusp18_NA"
"Ebi3_Il27ra","Ebi3","Il27ra","Ebi3","Il27ra","Ebi3_Il27ra"
"Ebi3_Il6st","Ebi3","Il6st","Ebi3","Il6st","Ebi3_Il6st"
"Ecm1_Cachd1","Ecm1","Cachd1","Ecm1","Cachd1","Ecm1_Cachd1"
"Eda_Eda2r","Eda","Eda2r","Eda","Eda2r","Eda_Eda2r"
"Eda_Edar","Eda","Edar","Eda","Edar","Eda_Edar"
"Edil3_Itgav","Edil3","Itgav","Edil3","Itgav","Edil3_Itgav"
"Edil3_Itgb5","Edil3","Itgb5","Edil3","Itgb5","Edil3_Itgb5"
"Edn1_Ednra","Edn1","Ednra","Edn1","Ednra","Edn1_Ednra"
"Edn1_Ednrb","Edn1","Ednrb","Edn1","Ednrb","Edn1_Ednrb"
"Edn1_Eltd1","Edn1","Eltd1","Edn1",NA,"Edn1_NA"
"Edn1_Kel","Edn1","Kel","Edn1","Kel","Edn1_Kel"
"Edn2_Ednra","Edn2","Ednra","Edn2","Ednra","Edn2_Ednra"
"Edn2_Ednrb","Edn2","Ednrb","Edn2","Ednrb","Edn2_Ednrb"
"Edn2_Kel","Edn2","Kel","Edn2","Kel","Edn2_Kel"
"Edn3_Ednra","Edn3","Ednra","Edn3","Ednra","Edn3_Ednra"
"Edn3_Ednrb","Edn3","Ednrb","Edn3","Ednrb","Edn3_Ednrb"
"Edn3_Kel","Edn3","Kel","Edn3","Kel","Edn3_Kel"
"Efemp1_Egfr","Efemp1","Egfr","Efemp1","Egfr","Efemp1_Egfr"
"Efemp2_Aqp1","Efemp2","Aqp1","Efemp2","Aqp1","Efemp2_Aqp1"
"Efemp2_Catsper1","Efemp2","Catsper1","Efemp2","Catsper1","Efemp2_Catsper1"
"Efemp2_Lingo1","Efemp2","Lingo1","Efemp2","Lingo1","Efemp2_Lingo1"
"Efemp2_Plscr4","Efemp2","Plscr4","Efemp2","Plscr4","Efemp2_Plscr4"
"Efna1_Epha1","Efna1","Epha1","Efna1","Epha1","Efna1_Epha1"
"Efna1_Epha2","Efna1","Epha2","Efna1",NA,"Efna1_NA"
"Efna1_Epha3","Efna1","Epha3","Efna1","Epha3","Efna1_Epha3"
"Efna1_Epha4","Efna1","Epha4","Efna1","Epha4","Efna1_Epha4"
"Efna1_Epha5","Efna1","Epha5","Efna1","Epha5","Efna1_Epha5"
"Efna1_Epha6","Efna1","Epha6","Efna1","Epha6","Efna1_Epha6"
"Efna1_Epha7","Efna1","Epha7","Efna1","Epha7","Efna1_Epha7"
"Efna1_Epha8","Efna1","Epha8","Efna1","Epha8","Efna1_Epha8"
"Efna1_Ephb1","Efna1","Ephb1","Efna1","Ephb1","Efna1_Ephb1"
"Efna1_Ephb6","Efna1","Ephb6","Efna1","Ephb6","Efna1_Ephb6"
"Efna2_Epha1","Efna2","Epha1","Efna2","Epha1","Efna2_Epha1"
"Efna2_Epha2","Efna2","Epha2","Efna2",NA,"Efna2_NA"
"Efna2_Epha3","Efna2","Epha3","Efna2","Epha3","Efna2_Epha3"
"Efna2_Epha4","Efna2","Epha4","Efna2","Epha4","Efna2_Epha4"
"Efna2_Epha5","Efna2","Epha5","Efna2","Epha5","Efna2_Epha5"
"Efna2_Epha6","Efna2","Epha6","Efna2","Epha6","Efna2_Epha6"
"Efna2_Epha7","Efna2","Epha7","Efna2","Epha7","Efna2_Epha7"
"Efna2_Epha8","Efna2","Epha8","Efna2","Epha8","Efna2_Epha8"
"Efna3_Epha1","Efna3","Epha1","Efna3","Epha1","Efna3_Epha1"
"Efna3_Epha2","Efna3","Epha2","Efna3",NA,"Efna3_NA"
"Efna3_Epha3","Efna3","Epha3","Efna3","Epha3","Efna3_Epha3"
"Efna3_Epha4","Efna3","Epha4","Efna3","Epha4","Efna3_Epha4"
"Efna3_Epha5","Efna3","Epha5","Efna3","Epha5","Efna3_Epha5"
"Efna3_Epha6","Efna3","Epha6","Efna3","Epha6","Efna3_Epha6"
"Efna3_Epha7","Efna3","Epha7","Efna3","Epha7","Efna3_Epha7"
"Efna3_Epha8","Efna3","Epha8","Efna3","Epha8","Efna3_Epha8"
"Efna3_Ephb1","Efna3","Ephb1","Efna3","Ephb1","Efna3_Ephb1"
"Efna3_Ephb6","Efna3","Ephb6","Efna3","Ephb6","Efna3_Ephb6"
"Efna4_Epha1","Efna4","Epha1","Efna4","Epha1","Efna4_Epha1"
"Efna4_Epha2","Efna4","Epha2","Efna4",NA,"Efna4_NA"
"Efna4_Epha3","Efna4","Epha3","Efna4","Epha3","Efna4_Epha3"
"Efna4_Epha4","Efna4","Epha4","Efna4","Epha4","Efna4_Epha4"
"Efna4_Epha5","Efna4","Epha5","Efna4","Epha5","Efna4_Epha5"
"Efna4_Epha6","Efna4","Epha6","Efna4","Epha6","Efna4_Epha6"
"Efna4_Epha7","Efna4","Epha7","Efna4","Epha7","Efna4_Epha7"
"Efna4_Epha8","Efna4","Epha8","Efna4","Epha8","Efna4_Epha8"
"Efna5_Epha1","Efna5","Epha1","Efna5","Epha1","Efna5_Epha1"
"Efna5_Epha2","Efna5","Epha2","Efna5",NA,"Efna5_NA"
"Efna5_Epha3","Efna5","Epha3","Efna5","Epha3","Efna5_Epha3"
"Efna5_Epha4","Efna5","Epha4","Efna5","Epha4","Efna5_Epha4"
"Efna5_Epha5","Efna5","Epha5","Efna5","Epha5","Efna5_Epha5"
"Efna5_Epha6","Efna5","Epha6","Efna5","Epha6","Efna5_Epha6"
"Efna5_Epha7","Efna5","Epha7","Efna5","Epha7","Efna5_Epha7"
"Efna5_Epha8","Efna5","Epha8","Efna5","Epha8","Efna5_Epha8"
"Efna5_Ephb1","Efna5","Ephb1","Efna5","Ephb1","Efna5_Ephb1"
"Efna5_Ephb2","Efna5","Ephb2","Efna5","Ephb2","Efna5_Ephb2"
"Efna5_Ephb6","Efna5","Ephb6","Efna5","Ephb6","Efna5_Ephb6"
"Efnb1_Epha4","Efnb1","Epha4","Efnb1","Epha4","Efnb1_Epha4"
"Efnb1_Epha6","Efnb1","Epha6","Efnb1","Epha6","Efnb1_Epha6"
"Efnb1_Ephb1","Efnb1","Ephb1","Efnb1","Ephb1","Efnb1_Ephb1"
"Efnb1_Ephb2","Efnb1","Ephb2","Efnb1","Ephb2","Efnb1_Ephb2"
"Efnb1_Ephb3","Efnb1","Ephb3","Efnb1","Ephb3","Efnb1_Ephb3"
"Efnb1_Ephb4","Efnb1","Ephb4","Efnb1","Ephb4","Efnb1_Ephb4"
"Efnb1_Ephb6","Efnb1","Ephb6","Efnb1","Ephb6","Efnb1_Ephb6"
"Efnb1_Erbb2","Efnb1","Erbb2","Efnb1","Erbb2","Efnb1_Erbb2"
"Efnb2_Epha3","Efnb2","Epha3","Efnb2","Epha3","Efnb2_Epha3"
"Efnb2_Epha4","Efnb2","Epha4","Efnb2","Epha4","Efnb2_Epha4"
"Efnb2_Epha6","Efnb2","Epha6","Efnb2","Epha6","Efnb2_Epha6"
"Efnb2_Ephb1","Efnb2","Ephb1","Efnb2","Ephb1","Efnb2_Ephb1"
"Efnb2_Ephb2","Efnb2","Ephb2","Efnb2","Ephb2","Efnb2_Ephb2"
"Efnb2_Ephb3","Efnb2","Ephb3","Efnb2","Ephb3","Efnb2_Ephb3"
"Efnb2_Ephb4","Efnb2","Ephb4","Efnb2","Ephb4","Efnb2_Ephb4"
"Efnb2_Ephb6","Efnb2","Ephb6","Efnb2","Ephb6","Efnb2_Ephb6"
"Efnb2_Grm1","Efnb2","Grm1","Efnb2","Grm1","Efnb2_Grm1"
"Efnb2_Grm5","Efnb2","Grm5","Efnb2","Grm5","Efnb2_Grm5"
"Efnb2_Pecam1","Efnb2","Pecam1","Efnb2","Pecam1","Efnb2_Pecam1"
"Efnb2_Rhbdl2","Efnb2","Rhbdl2","Efnb2","Rhbdl2","Efnb2_Rhbdl2"
"Efnb3_Epha4","Efnb3","Epha4","Efnb3","Epha4","Efnb3_Epha4"
"Efnb3_Ephb1","Efnb3","Ephb1","Efnb3","Ephb1","Efnb3_Ephb1"
"Efnb3_Ephb2","Efnb3","Ephb2","Efnb3","Ephb2","Efnb3_Ephb2"
"Efnb3_Ephb3","Efnb3","Ephb3","Efnb3","Ephb3","Efnb3_Ephb3"
"Efnb3_Ephb4","Efnb3","Ephb4","Efnb3","Ephb4","Efnb3_Ephb4"
"Efnb3_Ephb6","Efnb3","Ephb6","Efnb3","Ephb6","Efnb3_Ephb6"
"Efnb3_Rhbdl2","Efnb3","Rhbdl2","Efnb3","Rhbdl2","Efnb3_Rhbdl2"
"Egfl8_Ncr3","Egfl8","Ncr3","Egfl8",NA,"Egfl8_NA"
"Egf_Cav1","Egf","Cav1","Egf","Cav1","Egf_Cav1"
"Egf_Egfr","Egf","Egfr","Egf","Egfr","Egf_Egfr"
"Egf_Erbb2","Egf","Erbb2","Egf","Erbb2","Egf_Erbb2"
"Egf_Erbb3","Egf","Erbb3","Egf","Erbb3","Egf_Erbb3"
"Egf_Erbb4","Egf","Erbb4","Egf","Erbb4","Egf_Erbb4"
"Egf_Fshr","Egf","Fshr","Egf","Fshr","Egf_Fshr"
"Epgn_Egfr","Epgn","Egfr","Epgn","Egfr","Epgn_Egfr"
"Epo_Epor","Epo","Epor","Epo","Epor","Epo_Epor"
"Ereg_Egfr","Ereg","Egfr","Ereg","Egfr","Ereg_Egfr"
"Ereg_Erbb2","Ereg","Erbb2","Ereg","Erbb2","Ereg_Erbb2"
"Ereg_Erbb3","Ereg","Erbb3","Ereg","Erbb3","Ereg_Erbb3"
"Ereg_Erbb4","Ereg","Erbb4","Ereg","Erbb4","Ereg_Erbb4"
"F10_F3","F10","F3","F10","F3","F10_F3"
"F10_Itgam","F10","Itgam","F10","Itgam","F10_Itgam"
"F10_Itgam","F10","Itgam","F10","Itgam","F10_Itgam"
"F10_Itgb2","F10","Itgb2","F10","Itgb2l","F10_Itgb2l"
"F10_Itgb2","F10","Itgb2","F10","Itgb2","F10_Itgb2"
"F11_Gp1ba","F11","Gp1ba","F11","Gp1ba","F11_Gp1ba"
"F12_Cd93","F12","Cd93","F12","Cd93","F12_Cd93"
"F12_Gp1ba","F12","Gp1ba","F12","Gp1ba","F12_Gp1ba"
"F13a1_Itga4","F13a1","Itga4","F13a1","Itga4","F13a1_Itga4"
"F13a1_Itga9","F13a1","Itga9","F13a1","Itga9","F13a1_Itga9"
"F13a1_Itgb1","F13a1","Itgb1","F13a1","Itgb1","F13a1_Itgb1"
"F2_F2r","F2","F2r","F2","F2r","F2_F2r"
"F2_F2rl1","F2","F2rl1","F2","F2rl1","F2_F2rl1"
"F2_F2rl2","F2","F2rl2","F2","F2rl2","F2_F2rl2"
"F2_F2rl3","F2","F2rl3","F2","F2rl3","F2_F2rl3"
"F2_Gp1ba","F2","Gp1ba","F2","Gp1ba","F2_Gp1ba"
"F2_Gp1bb","F2","Gp1bb","F2","Gp1bb","F2_Gp1bb"
"F2_Gp9","F2","Gp9","F2","Gp9","F2_Gp9"
"F2_Itga2b","F2","Itga2b","F2","Itga2b","F2_Itga2b"
"F2_Thbd","F2","Thbd","F2","Thbd","F2_Thbd"
"F7_F3","F7","F3","F7","F3","F7_F3"
"F8_Asgr2","F8","Asgr2","F8","Asgr2","F8_Asgr2"
"F8_Ldlr","F8","Ldlr","F8","Ldlr","F8_Ldlr"
"F8_Lrp1","F8","Lrp1","F8","Lrp1","F8_Lrp1"
"F9_Lrp1","F9","Lrp1","F9","Lrp1","F9_Lrp1"
"Farp2_Plxna1","Farp2","Plxna1","Farp2","Plxna1","Farp2_Plxna1"
"Farp2_Plxna2","Farp2","Plxna2","Farp2","Plxna2","Farp2_Plxna2"
"Farp2_Plxna3","Farp2","Plxna3","Farp2","Plxna3","Farp2_Plxna3"
"Farp2_Plxna4","Farp2","Plxna4","Farp2","Plxna4","Farp2_Plxna4"
"Faslg_Fas","Faslg","Fas","Fasl","Fas","Fasl_Fas"
"Faslg_Tnfrsf1a","Faslg","Tnfrsf1a","Fasl","Tnfrsf1a","Fasl_Tnfrsf1a"
"Faslg_Tnfrsf6b","Faslg","Tnfrsf6b","Fasl",NA,"Fasl_NA"
"Fat4_Dchs1","Fat4","Dchs1","Fat4","Dchs1","Fat4_Dchs1"
"Fbln1_Itgb1","Fbln1","Itgb1","Fbln1","Itgb1","Fbln1_Itgb1"
"Fbln2_Itgb3","Fbln2","Itgb3","Fbln2","Itgb3","Fbln2_Itgb3"
"Fbn1_Itga5","Fbn1","Itga5","Fbn1","Itga5","Fbn1_Itga5"
"Fbn1_Itgav","Fbn1","Itgav","Fbn1","Itgav","Fbn1_Itgav"
"Fbn1_Itgb1","Fbn1","Itgb1","Fbn1","Itgb1","Fbn1_Itgb1"
"Fbn1_Itgb3","Fbn1","Itgb3","Fbn1","Itgb3","Fbn1_Itgb3"
"Fbn1_Itgb6","Fbn1","Itgb6","Fbn1","Itgb6","Fbn1_Itgb6"
"Fcn2_Lrp1","Fcn2","Lrp1","Fcnb","Lrp1","Fcnb_Lrp1"
"Fga_Cdh5","Fga","Cdh5","Fga","Cdh5","Fga_Cdh5"
"Fga_Itga2b","Fga","Itga2b","Fga","Itga2b","Fga_Itga2b"
"Fga_Itga5","Fga","Itga5","Fga","Itga5","Fga_Itga5"
"Fga_Itgad","Fga","Itgad","Fga","Itgad","Fga_Itgad"
"Fga_Itgam","Fga","Itgam","Fga","Itgam","Fga_Itgam"
"Fga_Itgam","Fga","Itgam","Fga","Itgam","Fga_Itgam"
"Fga_Itgav","Fga","Itgav","Fga","Itgav","Fga_Itgav"
"Fga_Itgax","Fga","Itgax","Fga","Itgax","Fga_Itgax"
"Fga_Itgb1","Fga","Itgb1","Fga","Itgb1","Fga_Itgb1"
"Fga_Itgb2","Fga","Itgb2","Fga","Itgb2l","Fga_Itgb2l"
"Fga_Itgb2","Fga","Itgb2","Fga","Itgb2","Fga_Itgb2"
"Fga_Itgb3","Fga","Itgb3","Fga","Itgb3","Fga_Itgb3"
"Fga_Plaur","Fga","Plaur","Fga","Plaur","Fga_Plaur"
"Fgb_Itga2b","Fgb","Itga2b","Fgb","Itga2b","Fgb_Itga2b"
"Fgb_Itga5","Fgb","Itga5","Fgb","Itga5","Fgb_Itga5"
"Fgb_Itgam","Fgb","Itgam","Fgb","Itgam","Fgb_Itgam"
"Fgb_Itgam","Fgb","Itgam","Fgb","Itgam","Fgb_Itgam"
"Fgb_Itgav","Fgb","Itgav","Fgb","Itgav","Fgb_Itgav"
"Fgb_Itgb1","Fgb","Itgb1","Fgb","Itgb1","Fgb_Itgb1"
"Fgb_Itgb2","Fgb","Itgb2","Fgb","Itgb2l","Fgb_Itgb2l"
"Fgb_Itgb2","Fgb","Itgb2","Fgb","Itgb2","Fgb_Itgb2"
"Fgf10_Fgfr1","Fgf10","Fgfr1","Fgf10","Fgfr1","Fgf10_Fgfr1"
"Fgf10_Fgfr2","Fgf10","Fgfr2","Fgf10","Fgfr2","Fgf10_Fgfr2"
"Fgf10_Fgfr3","Fgf10","Fgfr3","Fgf10","Fgfr3","Fgf10_Fgfr3"
"Fgf10_Fgfr4","Fgf10","Fgfr4","Fgf10","Fgfr4","Fgf10_Fgfr4"
"Fgf11_Fgfr1","Fgf11","Fgfr1","Fgf11","Fgfr1","Fgf11_Fgfr1"
"Fgf11_Fgfr2","Fgf11","Fgfr2","Fgf11","Fgfr2","Fgf11_Fgfr2"
"Fgf11_Fgfr3","Fgf11","Fgfr3","Fgf11","Fgfr3","Fgf11_Fgfr3"
"Fgf11_Fgfr4","Fgf11","Fgfr4","Fgf11","Fgfr4","Fgf11_Fgfr4"
"Fgf12_Fgfr1","Fgf12","Fgfr1","Fgf12","Fgfr1","Fgf12_Fgfr1"
"Fgf12_Fgfr2","Fgf12","Fgfr2","Fgf12","Fgfr2","Fgf12_Fgfr2"
"Fgf12_Fgfr3","Fgf12","Fgfr3","Fgf12","Fgfr3","Fgf12_Fgfr3"
"Fgf12_Fgfr4","Fgf12","Fgfr4","Fgf12","Fgfr4","Fgf12_Fgfr4"
"Fgf13_Egfr","Fgf13","Egfr","Fgf13","Egfr","Fgf13_Egfr"
"Fgf13_Fgfr1","Fgf13","Fgfr1","Fgf13","Fgfr1","Fgf13_Fgfr1"
"Fgf13_Fgfr2","Fgf13","Fgfr2","Fgf13","Fgfr2","Fgf13_Fgfr2"
"Fgf13_Fgfr3","Fgf13","Fgfr3","Fgf13","Fgfr3","Fgf13_Fgfr3"
"Fgf13_Fgfr4","Fgf13","Fgfr4","Fgf13","Fgfr4","Fgf13_Fgfr4"
"Fgf13_Scn5a","Fgf13","Scn5a","Fgf13","Scn5a","Fgf13_Scn5a"
"Fgf13_Scn8a","Fgf13","Scn8a","Fgf13","Scn8a","Fgf13_Scn8a"
"Fgf14_Fgfr1","Fgf14","Fgfr1","Fgf14","Fgfr1","Fgf14_Fgfr1"
"Fgf14_Fgfr2","Fgf14","Fgfr2","Fgf14","Fgfr2","Fgf14_Fgfr2"
"Fgf14_Fgfr3","Fgf14","Fgfr3","Fgf14","Fgfr3","Fgf14_Fgfr3"
"Fgf14_Fgfr4","Fgf14","Fgfr4","Fgf14","Fgfr4","Fgf14_Fgfr4"
"Fgf16_Fgfr1","Fgf16","Fgfr1","Fgf16","Fgfr1","Fgf16_Fgfr1"
"Fgf16_Fgfr2","Fgf16","Fgfr2","Fgf16","Fgfr2","Fgf16_Fgfr2"
"Fgf16_Fgfr3","Fgf16","Fgfr3","Fgf16","Fgfr3","Fgf16_Fgfr3"
"Fgf16_Fgfr4","Fgf16","Fgfr4","Fgf16","Fgfr4","Fgf16_Fgfr4"
"Fgf17_Fgfr1","Fgf17","Fgfr1","Fgf17","Fgfr1","Fgf17_Fgfr1"
"Fgf17_Fgfr2","Fgf17","Fgfr2","Fgf17","Fgfr2","Fgf17_Fgfr2"
"Fgf17_Fgfr3","Fgf17","Fgfr3","Fgf17","Fgfr3","Fgf17_Fgfr3"
"Fgf17_Fgfr4","Fgf17","Fgfr4","Fgf17","Fgfr4","Fgf17_Fgfr4"
"Fgf18_Fgfr1","Fgf18","Fgfr1","Fgf18","Fgfr1","Fgf18_Fgfr1"
"Fgf18_Fgfr2","Fgf18","Fgfr2","Fgf18","Fgfr2","Fgf18_Fgfr2"
"Fgf18_Fgfr3","Fgf18","Fgfr3","Fgf18","Fgfr3","Fgf18_Fgfr3"
"Fgf18_Fgfr4","Fgf18","Fgfr4","Fgf18","Fgfr4","Fgf18_Fgfr4"
"Fgf19_Fgfr1","Fgf19","Fgfr1","Fgf15","Fgfr1","Fgf15_Fgfr1"
"Fgf19_Fgfr2","Fgf19","Fgfr2","Fgf15","Fgfr2","Fgf15_Fgfr2"
"Fgf19_Fgfr3","Fgf19","Fgfr3","Fgf15","Fgfr3","Fgf15_Fgfr3"
"Fgf19_Fgfr4","Fgf19","Fgfr4","Fgf15","Fgfr4","Fgf15_Fgfr4"
"Fgf19_Klb","Fgf19","Klb","Fgf15","Klb","Fgf15_Klb"
"Fgf1_Cd44","Fgf1","Cd44","Fgf1","Cd44","Fgf1_Cd44"
"Fgf1_Egfr","Fgf1","Egfr","Fgf1","Egfr","Fgf1_Egfr"
"Fgf1_Fgfr1","Fgf1","Fgfr1","Fgf1","Fgfr1","Fgf1_Fgfr1"
"Fgf1_Fgfr2","Fgf1","Fgfr2","Fgf1","Fgfr2","Fgf1_Fgfr2"
"Fgf1_Fgfr3","Fgf1","Fgfr3","Fgf1","Fgfr3","Fgf1_Fgfr3"
"Fgf1_Fgfr4","Fgf1","Fgfr4","Fgf1","Fgfr4","Fgf1_Fgfr4"
"Fgf1_Fgfrl1","Fgf1","Fgfrl1","Fgf1","Fgfrl1","Fgf1_Fgfrl1"
"Fgf1_Nrp1","Fgf1","Nrp1","Fgf1","Nrp1","Fgf1_Nrp1"
"Fgf20_Fgfr4","Fgf20","Fgfr4","Fgf20","Fgfr4","Fgf20_Fgfr4"
"Fgf21_Fgfr2","Fgf21","Fgfr2","Fgf21","Fgfr2","Fgf21_Fgfr2"
"Fgf21_Fgfr4","Fgf21","Fgfr4","Fgf21","Fgfr4","Fgf21_Fgfr4"
"Fgf22_Fgfr2","Fgf22","Fgfr2","Fgf22","Fgfr2","Fgf22_Fgfr2"
"Fgf23_Fgfr1","Fgf23","Fgfr1","Fgf23","Fgfr1","Fgf23_Fgfr1"
"Fgf23_Fgfr2","Fgf23","Fgfr2","Fgf23","Fgfr2","Fgf23_Fgfr2"
"Fgf23_Fgfr3","Fgf23","Fgfr3","Fgf23","Fgfr3","Fgf23_Fgfr3"
"Fgf23_Fgfr4","Fgf23","Fgfr4","Fgf23","Fgfr4","Fgf23_Fgfr4"
"Fgf23_Phex","Fgf23","Phex","Fgf23","Phex","Fgf23_Phex"
"Fgf2_Cd44","Fgf2","Cd44","Fgf2","Cd44","Fgf2_Cd44"
"Fgf2_Fgfr1","Fgf2","Fgfr1","Fgf2","Fgfr1","Fgf2_Fgfr1"
"Fgf2_Fgfr2","Fgf2","Fgfr2","Fgf2","Fgfr2","Fgf2_Fgfr2"
"Fgf2_Fgfr3","Fgf2","Fgfr3","Fgf2","Fgfr3","Fgf2_Fgfr3"
"Fgf2_Fgfr4","Fgf2","Fgfr4","Fgf2","Fgfr4","Fgf2_Fgfr4"
"Fgf2_Fgfrl1","Fgf2","Fgfrl1","Fgf2","Fgfrl1","Fgf2_Fgfrl1"
"Fgf2_Gpc4","Fgf2","Gpc4","Fgf2","Gpc4","Fgf2_Gpc4"
